HUB ID,Location,Name,Sitewide?,Affected item,Additional Elements,Component,Description of item/issue,WCAG Guideline,Affected Users,Recommended Fix,Priority,Issue Resolved Date,Category,Category ID,Common Issue ID,Allyant Status,Client Status,Client Sprint,Client Release,Client Assignee,Client Source ID,Ready for QA,High Risk,Last Comment,Last Comment Timestamp,Last Comment Email,Created Session,Last Updated Session,Last Screenshot Link,All Screenshots,Issue Link,Related Knowledge Base Articles
1,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","""Trimble Unity Construct"" image","",,Background images that provide information must be available to screen reader users.,1.1.1 (WCAG 2.0 A),Visual,Change each image from a CSS background image into an image tag (`<img>`) with an appropriate `alt` attribute.,Critical,,Images,1,50,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001768,https://hub.accessible360.com/screenshots/2001768,https://hub.accessible360.com/issues/700641/edit,"https://hub.accessible360.com/kb/articles/76, https://hub.accessible360.com/kb/articles/472"
2,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","""Trimble"" logo","",,Logo images need to be properly labeled for screen reader users.,1.1.1 (WCAG 2.0 A),Visual,"Text labeling each logo image should include the company name, as well as any additional text legible within the logo image (motto, slogan, etc). Ensure that the text “logo” is appended to the labeling.

- For `<img>` elements, place the image label text in the `alt` attribute.
- For `<svg>` elements, add `role=""img""` and `aria-labelledby` attributes to each `<svg>` tag, then place the image label text in a `<title>` tag within the `<svg>` tag and give this `<title>` tag a unique `id` attribute. Ensure the `<title>` is a direct descendant of the `<svg>` tag and that the `<svg>` tag’s `aria-labelledby` attribute holds the `<title>` tag’s `id` value.
",Warning,,Images,1,90,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001769,https://hub.accessible360.com/screenshots/2001769,https://hub.accessible360.com/issues/700642/edit,""
3,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","""Forgot password"" and ""Help | Privacy Notice"" links","",,Focus indicators for actionable elements must be present and meet contrast requirements.,"1.4.11 (WCAG 2.1 AA), 2.4.7 (WCAG 2.0 AA)","Cognitive,Motor / Dexterity,Visual","A focus indicator must always be visible and have at least 3:1 contrast.

It is best to intentionally style the focus indicator for all links, buttons, fields, etc. We encourage you to change the shape somehow (add a border, box, underline, etc.) as well as choose a color that has sufficient contrast with either the background of the page (if placed outside of the element) or the element itself (if placed inside of the element).

",Critical,,Focus,2,1037,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001771,https://hub.accessible360.com/screenshots/2001771,https://hub.accessible360.com/issues/700644/edit,"https://hub.accessible360.com/kb/articles/44, https://hub.accessible360.com/kb/articles/863, https://hub.accessible360.com/kb/articles/1360"
4,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"",Form errors,"""Login"" > enter verification code > error",,Errors are not identified to screen reader users. ,3.3.1 (WCAG 2.0 A),Visual,"Ensure that screen reader users are informed of the errors present for these form fields.

There are a number of ways that this can be addressed. Ideally, add an `aria-describedby` attribute and set focus on the first form field with an error. The `aria-describedby` attribute should be placed on the affected form field. It takes the `ID` of the element that contains the description of the error. If the form field is described by more than one element, you can set the `aria-describedby` attribute to a space-separated list of IDs.

Some alternative approaches are the following:

* Add an `aria-invalid` attribute to the `<input>` elements with errors. Ideally this is accompanied by setting focus on the first `<input>` with an error.
* Utilize the browser error alerts to indicate this information. 
",Serious,,Forms,105,631,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001772,"https://hub.accessible360.com/screenshots/2019869, https://hub.accessible360.com/screenshots/2001772",https://hub.accessible360.com/issues/700645/edit,""
5,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"",Svg before error alert,"",,Decorative SVG elements should be hidden from screen reader users.,1.1.1 (WCAG 2.0 A),Visual,"Give each `<svg>` tag an `aria-hidden=""true""` attribute.",Warning,,Images,1,410,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001773,https://hub.accessible360.com/screenshots/2001773,https://hub.accessible360.com/issues/700646/edit,""
6,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","Element <BODY>, with message: No Main element found. with selector: [cz-shortcut-listen]","",,This page requires a <main> tag to assist screen reader users in understanding and navigating the structure of the page.,1.3.1 (WCAG 2.0 A),Visual,Wrap the main content of the page in a `<main>` tag. ,Serious,,Landmarks,107,100,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,,"",https://hub.accessible360.com/issues/700647/edit,https://hub.accessible360.com/kb/articles/143
7,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","""Login"" > enter verification code","",,All form fields must be properly labeled.,3.3.2 (WCAG 2.0 A),"Cognitive,Motor / Dexterity,Visual","Ensure all form fields have a visible label (typically via a `<label>` tag) which is properly associated with its field (via the `for` attribute, which takes the value of the `id` from the form field).",Serious,,Forms,105,10,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001776,https://hub.accessible360.com/screenshots/2001776,https://hub.accessible360.com/issues/700648/edit,"https://hub.accessible360.com/kb/articles/48, https://hub.accessible360.com/kb/articles/1093"
8,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","""Help"" link","",,Elements that function as links must be marked up as such so that screen reader users will identify them as actionable and they will be usable by keyboard users.,"2.1.1 (WCAG 2.0 A), 4.1.2 (WCAG 2.0 A)","Motor / Dexterity,Visual","Preferably, links should be marked up as semantic HTML `<a>` elements.

Less preferably, ensure that custom link elements include `role=“link”` and `tabindex=“0”`, and have the appropriate scripting in place so that the element can be selected by keyboard users using the `Enter` key and by mouse click.",Critical,,Links,108,18,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001777,https://hub.accessible360.com/screenshots/2001777,https://hub.accessible360.com/issues/700649/edit,https://hub.accessible360.com/kb/articles/65
1027,https://app-us3.e-builder.net/auth/www/index.aspx,Login,"","Verification step > ""Skip to main content"" link","",,"This ""Skip to Main Content"" link does not correctly set focus for users when it is selected. ",2.4.3 (WCAG 2.0 A),"Motor / Dexterity,Visual","Ensure that when this element is selected that focus is set to the start of the main content. To do so, target the `ID` of the `<main>` tag, or fire a `.focus()` event on that element so screen reader users begin reading the page from there. The element receiving focus will need a `tabindex` of `-1`, or will need to be natively focusable by the browser.",Serious,,Focus,2,572,Open,Open,,,,,"","",,,,Audit Session,Audit Session,,"",https://hub.accessible360.com/issues/708299/edit,""
1028,https://app-us3.e-builder.net/auth/www/index.aspx,Login,Yes,"All colors matching description. For example: Verification step > ""Verify"" button","",Color and Contrast,Focus indicators must meet the minimum color contrast required by the WCAG. The combination of blue (#197cb6) and dark blue (#001aff) only has a contrast ratio of 1.77:1.,1.4.11 (WCAG 2.1 AA),Visual,"The visual presentation of the focus indicator should be modified to have a contrast ratio of at least 3:1 with with either the background of the page (if placed outside of the element) or the element itself (if placed inside of the element). Alternatively, remove all custom styles for the focus indicator on this site and allow the native browser focus indicator to be used so that users can customize their focus indicators according to their needs.

**Note:** the color combination specified in this issue’s example may also be present elsewhere on your site. We recommend careful review and monitoring of all site colors to ensure ongoing, site wide compliance with color contrast requirements.",Serious,,Color and contrast,5,587,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2019867,https://hub.accessible360.com/screenshots/2019867,https://hub.accessible360.com/issues/708303/edit,"https://hub.accessible360.com/kb/articles/863, https://hub.accessible360.com/kb/articles/864, https://hub.accessible360.com/kb/articles/1363"
